feature,mi_score
Landroid/view/KeyEvent;->getKeyData(Landroid/view/KeyCharacterMap$KeyData;)Z,0.11866796870413632
Landroid/widget/CompoundButton;->setChecked(Z)V,0.1181899366438166
Landroid/content/ContentProvider;-><init>()V,0.1175978424259927
Landroid/widget/TextView;-><init>(Landroid/content/Context;)V,0.11759384419216112
Landroid/view/View;->getPaddingRight()I,0.11754198678565997
Landroid/view/View;->setActivated(Z)V,0.11709297590075418
Landroid/app/Dialog;->setContentView(Landroid/view/View;)V,0.11706728934464827
Landroid/view/Window;->addFlags(I)V,0.1169053788706067
Landroid/widget/ListView;->setAdapter(Landroid/widget/ListAdapter;)V,0.11657293070080432
Landroid/widget/ImageButton;-><init>(Landroid/content/Context;)V,0.11640183023284534
Landroid/view/View;->sendAccessibilityEvent(I)V,0.11639204019020721
Landroid/media/AudioManager;->abandonAudioFocus(Landroid/media/AudioManager$OnAudioFocusChangeListener;)I,0.1159839606901194
Landroid/content/res/Resources;->getDimensionPixelSize(I)I,0.11579735384698742
Landroid/widget/TextView;->setTransformationMethod(Landroid/text/method/TransformationMethod;)V,0.1152532382461211
Landroid/os/PowerManager$WakeLock;->acquire(J)V,0.11523271469440588
Landroid/app/Activity;->shouldUpRecreateTask(Landroid/content/Intent;)Z,0.11492567254951092
Landroid/widget/TextView;->setGravity(I)V,0.11479380179376553
Landroid/widget/TextView;->setTypeface(Landroid/graphics/Typeface;)V,0.1144297659066078
Landroid/content/res/Resources;->openRawResource(I)Ljava/io/InputStream;,0.11408752294327185
Landroid/content/Context;->getText(I)Ljava/lang/CharSequence;,0.11387671813797273
Landroid/view/View;->dispatchTouchEvent(Landroid/view/MotionEvent;)Z,0.11355185849360327
Landroid/view/View;-><init>(Landroid/content/Context;)V,0.11322668149136494
Landroid/view/View;->dispatchApplyWindowInsets(Landroid/view/WindowInsets;)Landroid/view/WindowInsets;,0.11318916151009639
Landroid/widget/TextView;->setEllipsize(Landroid/text/TextUtils$TruncateAt;)V,0.1130282154111395
Landroid/os/PowerManager$WakeLock;->release()V,0.11300354077990438
Landroid/app/Dialog;->dismiss()V,0.11269386077404042
Landroid/view/ViewGroup;->dispatchKeyEvent(Landroid/view/KeyEvent;)Z,0.11142061516213264
Landroid/app/Dialog;->show()V,0.11112810121626815
Landroid/view/View;->setSaveFromParentEnabled(Z)V,0.1111039941126215
Landroid/graphics/drawable/Drawable;->getMinimumHeight()I,0.11016986262726292
Landroid/graphics/drawable/Drawable$ConstantState;->newDrawable(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;,0.10962417466813346
Landroid/widget/ProgressBar;->setIndeterminate(Z)V,0.10941885091979087
Landroid/view/KeyCharacterMap;->load(I)Landroid/view/KeyCharacterMap;,0.10876181670894969
Landroid/widget/TextView;->setSingleLine()V,0.10850622373187746
Landroid/view/ViewPropertyAnimator;->scaleY(F)Landroid/view/ViewPropertyAnimator;,0.10818583274727245
Landroid/webkit/WebView;->setWebViewClient(Landroid/webkit/WebViewClient;)V,0.10782126789622848
Landroid/content/Context;->getString(I)Ljava/lang/String;,0.10771494864605713
Landroid/view/View;->setBackground(Landroid/graphics/drawable/Drawable;)V,0.10769622114732358
Landroid/app/Activity;->getActionBar()Landroid/app/ActionBar;,0.10693737987864371
Landroid/view/View;->draw(Landroid/graphics/Canvas;)V,0.10678340534139763
Landroid/view/ViewGroup;->removeViewAt(I)V,0.10634427727075768
Landroid/widget/EditText;-><init>(Landroid/content/Context;)V,0.10625466295125618
Landroid/view/View;->setScaleX(F)V,0.1055642222406934
Landroid/view/View;->getPaddingStart()I,0.10461896876118337
Landroid/support/v7/widget/SearchView;->setIconified(Z)V,0.10428901719164285
Landroid/app/Activity;->setContentView(Landroid/view/View;)V,0.10424563898935468
Landroid/util/LruCache;->get(Ljava/lang/Object;)Ljava/lang/Object;,0.10388734658759002
Landroid/content/pm/ResolveInfo;->loadLabel(Landroid/content/pm/PackageManager;)Ljava/lang/CharSequence;,0.10358755237196693
Landroid/os/Parcel;->writeMap(Ljava/util/Map;)V,0.10339910529765639
Landroid/content/res/TypedArray;->getTextArray(I)[Ljava/lang/CharSequence;,0.10279014660598129
Landroid/widget/FrameLayout;->setForeground(Landroid/graphics/drawable/Drawable;)V,0.10154957791332486
Landroid/widget/PopupWindow;->dismiss()V,0.10125827599664183
Landroid/app/Activity;->requestWindowFeature(I)Z,0.10111987403165723
Landroid/support/v4/app/Fragment;->onDestroy()V,0.10069628681436527
Landroid/view/View;->setPressed(Z)V,0.10046749612604167
Landroid/support/v4/view/ViewPager;->setCurrentItem(I)V,0.10026185596530635
Landroid/text/SpannableStringBuilder;->append(Ljava/lang/CharSequence;)Landroid/text/SpannableStringBuilder;,0.1001188994136959
Landroid/accounts/AccountManager;->get(Landroid/content/Context;)Landroid/accounts/AccountManager;,0.10011475124633318
Landroid/widget/FrameLayout;->draw(Landroid/graphics/Canvas;)V,0.09957851102790394
Landroid/widget/ImageView;->setImageBitmap(Landroid/graphics/Bitmap;)V,0.09950923662146671
Landroid/widget/ImageView;-><init>(Landroid/content/Context;)V,0.09912707203063542
Landroid/app/Activity;->finishAfterTransition()V,0.09894218138328292
Landroid/telephony/TelephonyManager;->getSubscriberId()Ljava/lang/String;,0.09892926002294367
Landroid/view/View;->onApplyWindowInsets(Landroid/view/WindowInsets;)Landroid/view/WindowInsets;,0.09850319227619053
Landroid/app/Activity;->setRequestedOrientation(I)V,0.09833330399140894
Landroid/widget/PopupWindow;->setContentView(Landroid/view/View;)V,0.09779600641799036
Landroid/widget/Toast;->show()V,0.09765439674466592
Landroid/view/View;->getWindowId()Landroid/view/WindowId;,0.09739510274673702
Landroid/webkit/WebView;-><init>(Landroid/content/Context;)V,0.09728695975392698
Landroid/app/PendingIntent;->cancel()V,0.09717162997723006
Landroid/app/DownloadManager;->enqueue(Landroid/app/DownloadManager$Request;)J,0.09706225140426095
Landroid/view/View;->setOnCreateContextMenuListener(Landroid/view/View$OnCreateContextMenuListener;)V,0.09673805464496787
Landroid/view/GestureDetector;->onTouchEvent(Landroid/view/MotionEvent;)Z,0.09634647434801624
Landroid/media/AudioManager;->getRingerMode()I,0.09620250160707333
Landroid/widget/CheckedTextView;->setCheckMarkDrawable(I)V,0.09596091234636561
Landroid/text/SpannableString;-><init>(Ljava/lang/CharSequence;)V,0.09506659228830028
Landroid/view/View;->setAccessibilityLiveRegion(I)V,0.09397516283533425
Landroid/view/accessibility/AccessibilityNodeInfo;->recycle()V,0.09344008948224136
Landroid/net/ConnectivityManager;->isActiveNetworkMetered()Z,0.09339013749202296
Landroid/text/Html;->fromHtml(Ljava/lang/String;)Landroid/text/Spanned;,0.09312827338001184
Landroid/support/v4/app/Fragment;->setUserVisibleHint(Z)V,0.09220038794008278
Landroid/view/View;->setBackgroundColor(I)V,0.09203000121869165
Landroid/widget/CompoundButton;->setButtonTintList(Landroid/content/res/ColorStateList;)V,0.09140134738655337
Landroid/view/TextureView;-><init>(Landroid/content/Context;)V,0.09124371568880618
Landroid/app/Dialog;->setTitle(Ljava/lang/CharSequence;)V,0.09102371977707735
Landroid/view/LayoutInflater;->from(Landroid/content/Context;)Landroid/view/LayoutInflater;,0.09101810930154874
Landroid/database/DataSetObservable;->notifyChanged()V,0.09065666705295694
Landroid/graphics/drawable/LayerDrawable;-><init>([Landroid/graphics/drawable/Drawable;)V,0.09010471699126499
Landroid/net/ConnectivityManager;->getActiveNetworkInfo()Landroid/net/NetworkInfo;,0.08951601437317991
Landroid/os/Bundle;->getCharSequence(Ljava/lang/String;)Ljava/lang/CharSequence;,0.08856117383465567
Landroid/media/AudioManager;->playSoundEffect(I)V,0.08777069293857975
Landroid/support/v4/app/FragmentActivity;->onConfigurationChanged(Landroid/content/res/Configuration;)V,0.0875863761923843
Landroid/widget/FrameLayout;->setVisibility(I)V,0.08698140761022821
Landroid/support/v7/widget/ActionMenuPresenter;-><init>(Landroid/content/Context;)V,0.08674069367458537
Landroid/graphics/drawable/Drawable;->getMinimumWidth()I,0.08664778142451546
Landroid/view/View;->setSelected(Z)V,0.08663255660900893
Landroid/content/Intent;->resolveTypeIfNeeded(Landroid/content/ContentResolver;)Ljava/lang/String;,0.08620558607121964
Landroid/text/SpannableStringBuilder;-><init>(Ljava/lang/CharSequence;)V,0.08600920155310376
Landroid/support/v7/widget/ActionMenuView;->getMenu()Landroid/view/Menu;,0.08593480690940747
Landroid/view/View;->getWindowVisibleDisplayFrame(Landroid/graphics/Rect;)V,0.08567404230295383
Landroid/view/Display;->getWidth()I,0.08542572746390986
Landroid/view/Display;->getRealMetrics(Landroid/util/DisplayMetrics;)V,0.08515995177563274
Landroid/database/sqlite/SQLiteOpenHelper;->getWritableDatabase()Landroid/database/sqlite/SQLiteDatabase;,0.08513795124660106
Landroid/app/Activity;->startPostponedEnterTransition()V,0.08399192387662446
Landroid/widget/ImageView;->setVisibility(I)V,0.08390513667652555
Landroid/view/View;->setBackgroundDrawable(Landroid/graphics/drawable/Drawable;)V,0.08381926781148241
Landroid/widget/RelativeLayout;-><init>(Landroid/content/Context;)V,0.08207722211813362
Landroid/widget/ListView;-><init>(Landroid/content/Context;)V,0.0814020272582534
Landroid/app/NotificationManager;->cancel(I)V,0.08121631871280277
Landroid/os/Bundle;->getCharSequenceArray(Ljava/lang/String;)[Ljava/lang/CharSequence;,0.08095179557239573
Landroid/os/Environment;->getExternalStorageDirectory()Ljava/io/File;,0.08080678039239308
Landroid/view/View;->setLayerPaint(Landroid/graphics/Paint;)V,0.08062120821848451
Landroid/widget/SearchView;->onActionViewCollapsed()V,0.07962934354160467
Landroid/support/v4/view/MenuItemCompat;->expandActionView(Landroid/view/MenuItem;)Z,0.07962029404656934
Landroid/content/res/TypedArray;->peekValue(I)Landroid/util/TypedValue;,0.07821276224391371
Landroid/view/View;->setFitsSystemWindows(Z)V,0.07794986717159191
Landroid/support/v4/app/FragmentActivity;-><init>()V,0.07770943547891829
Landroid/app/NotificationManager;->cancelAll()V,0.07768333029488406
Landroid/content/res/Resources;->getDimension(I)F,0.07706593961611286
Landroid/app/IntentService;-><init>(Ljava/lang/String;)V,0.07694890521925046
Landroid/graphics/drawable/InsetDrawable;->draw(Landroid/graphics/Canvas;)V,0.0767752454251267
Landroid/os/Parcel;->readParcelableArray(Ljava/lang/ClassLoader;)[Landroid/os/Parcelable;,0.07648787562899839
Landroid/view/ViewStub;->inflate()Landroid/view/View;,0.07645356289807692
Landroid/content/res/TypedArray;->getColorStateList(I)Landroid/content/res/ColorStateList;,0.07594731072316296
Landroid/support/v7/widget/SearchView;->getQueryHint()Ljava/lang/CharSequence;,0.0759340418327874
Landroid/support/v4/widget/SwipeRefreshLayout;->setProgressBackgroundColorSchemeResource(I)V,0.07591322847428872
Landroid/webkit/WebView;->getTitle()Ljava/lang/String;,0.07584118904722414
Landroid/app/ActivityOptions;->toBundle()Landroid/os/Bundle;,0.0758135903055257
Landroid/widget/AutoCompleteTextView;->setDropDownBackgroundResource(I)V,0.07567941912991771
Landroid/support/v7/widget/SwitchCompat;->setChecked(Z)V,0.07562930662790968
Landroid/view/View;->setPivotX(F)V,0.07547798220965696
Landroid/widget/Button;-><init>(Landroid/content/Context;)V,0.07521386603463576
Landroid/support/v4/app/INotificationSideChannel$Stub;-><init>()V,0.0751676308051763
Landroid/os/Bundle;->getFloatArray(Ljava/lang/String;)[F,0.07496547247911178
Landroid/telephony/TelephonyManager;->getPhoneType()I,0.07490164184201009
Landroid/support/v7/widget/ListPopupWindow;-><init>(Landroid/content/Context;)V,0.07465155586453132
Landroid/app/Activity;->getCallingActivity()Landroid/content/ComponentName;,0.07433463291603104
Landroid/media/AudioManager;->getStreamMaxVolume(I)I,0.07406480651185854
Landroid/support/v4/widget/DrawerLayout$SavedState;-><init>(Landroid/os/Parcel;)V,0.07348208597204198
Landroid/content/res/Resources;->getTextArray(I)[Ljava/lang/CharSequence;,0.0734335982740546
Landroid/app/Activity;->onBackPressed()V,0.07335780710957551
Landroid/support/v7/widget/SearchView;->setIconifiedByDefault(Z)V,0.07326208239324661
Landroid/view/KeyEvent;->dispatch(Landroid/view/KeyEvent$Callback;)Z,0.0732208002488457
Landroid/support/v4/widget/SwipeRefreshLayout;->setColorSchemeResources([I)V,0.07309420522125709
Landroid/os/Handler;->dispatchMessage(Landroid/os/Message;)V,0.0726430980975421
Landroid/graphics/drawable/ColorDrawable;-><init>(I)V,0.0722978996003325
Landroid/view/accessibility/AccessibilityManager;->sendAccessibilityEvent(Landroid/view/accessibility/AccessibilityEvent;)V,0.07193638129300362
Landroid/view/Display;->getMetrics(Landroid/util/DisplayMetrics;)V,0.07112827171634106
Landroid/content/res/Resources;->getDimensionPixelOffset(I)I,0.07041076176259153
Landroid/webkit/WebView;->getSettings()Landroid/webkit/WebSettings;,0.07009803992450014
Landroid/graphics/drawable/Drawable;->clearColorFilter()V,0.06948306267210547
Landroid/view/ViewPropertyAnimator;->rotationY(F)Landroid/view/ViewPropertyAnimator;,0.06838994610238158
Landroid/support/v4/app/TaskStackBuilder;->startActivities(Landroid/os/Bundle;)V,0.06791653042465562
Landroid/content/ContextWrapper;->getExternalCacheDir()Ljava/io/File;,0.06721663106089504
Landroid/widget/TabWidget;-><init>(Landroid/content/Context;)V,0.06721500458067009
Landroid/support/v4/app/TaskStackBuilder;->startActivities()V,0.06711271175913236
Landroid/view/Window;->clearFlags(I)V,0.06655546639667875
Landroid/support/v4/view/ViewCompat;->isOpaque(Landroid/view/View;)Z,0.06655005846071438
Landroid/content/res/Resources;->getAnimation(I)Landroid/content/res/XmlResourceParser;,0.06638262201146206
Landroid/webkit/WebView;->stopLoading()V,0.06629667671074735
Landroid/content/Intent;->getSerializableExtra(Ljava/lang/String;)Ljava/io/Serializable;,0.06586842779620783
Landroid/database/sqlite/SQLiteDatabase;->execSQL(Ljava/lang/String;)V,0.06544808185080897
Landroid/support/v7/widget/ListPopupWindow$ForwardingListener;-><init>(Landroid/view/View;)V,0.06514119701702459
Landroid/widget/ProgressBar;->setVisibility(I)V,0.06509567821519191
Landroid/content/res/Resources;->getMovie(I)Landroid/graphics/Movie;,0.06474758666536085
Landroid/webkit/WebView;->loadUrl(Ljava/lang/String;)V,0.06470811096643891
Landroid/widget/TextView;->getBaseline()I,0.06448769643437369
Landroid/content/res/Resources;->openRawResourceFd(I)Landroid/content/res/AssetFileDescriptor;,0.06437004481218844
Landroid/view/View;->setY(F)V,0.06429095973975296
Landroid/support/v4/app/NotificationCompat$Builder;->build()Landroid/app/Notification;,0.06424908366682103
Landroid/view/Display;->getSize(Landroid/graphics/Point;)V,0.06362018545449755
Landroid/os/CancellationSignal;->setOnCancelListener(Landroid/os/CancellationSignal$OnCancelListener;)V,0.06340736576707973
Landroid/widget/TextView;->setSingleLine(Z)V,0.06295250485982917
Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;->getChildren()[Landroid/graphics/drawable/Drawable;,0.06286969555575639
Landroid/widget/Spinner;->performClick()Z,0.06241698576034538
Landroid/widget/ImageView;->setImageURI(Landroid/net/Uri;)V,0.06213095993412754
Landroid/app/Fragment;->onDestroy()V,0.061655421289832146
Landroid/support/v7/widget/ListPopupWindow;->setContentWidth(I)V,0.06156161681718286
Landroid/os/Environment;->getExternalStorageState()Ljava/lang/String;,0.06128867320660891
Landroid/support/v4/widget/EdgeEffectCompat;-><init>(Landroid/content/Context;)V,0.06105416866509894
Landroid/speech/tts/TextToSpeech;->getFeatures(Ljava/util/Locale;)Ljava/util/Set;,0.06061621053812094
Landroid/view/View;->setRotationY(F)V,0.05977662310252074
Landroid/support/v4/view/ViewPager;->arrowScroll(I)Z,0.05947595122675664
Landroid/widget/SearchView;->setQueryHint(Ljava/lang/CharSequence;)V,0.05911092599749379
Landroid/content/ContentProviderClient;->release()Z,0.05889316506335751
Landroid/os/CancellationSignal;->cancel()V,0.05874663441401706
Landroid/view/View;->setLayoutDirection(I)V,0.058312076187905904
Landroid/widget/ProgressBar;->setIndeterminateDrawable(Landroid/graphics/drawable/Drawable;)V,0.05825398196722453
Landroid/app/PendingIntent;->send(I)V,0.058189286924602124
Landroid/os/Messenger;->send(Landroid/os/Message;)V,0.057996304794992515
Landroid/view/ActionProvider;->refreshVisibility()V,0.05794797595260848
Landroid/view/KeyEvent;->getUnicodeChar(I)I,0.05763694284946652
Landroid/view/View;->onStartTemporaryDetach()V,0.05670962246370559
