feature,chi2_score
Landroid/widget/PopupWindow;->setContentView(Landroid/view/View;)V,1077.0210929181933
Landroid/view/View;->onApplyWindowInsets(Landroid/view/WindowInsets;)Landroid/view/WindowInsets;,1073.760528075878
Landroid/support/v4/app/NotificationCompatJellybean$Builder;->addAction(Landroid/support/v4/app/NotificationCompatBase$Action;)V,1073.1084230123815
Landroid/app/Activity;->requestWindowFeature(I)Z,1072.932631877457
Landroid/support/v7/widget/ListPopupWindow$ForwardingListener;-><init>(Landroid/view/View;)V,1068.297813475003
Landroid/widget/TextView;->setTypeface(Landroid/graphics/Typeface;)V,1068.031102378382
Landroid/content/ContentResolver;->openInputStream(Landroid/net/Uri;)Ljava/io/InputStream;,1067.5693932865167
Landroid/support/v4/widget/DrawerLayout;->setStatusBarBackground(I)V,1066.413557910106
Landroid/os/Messenger;-><init>(Landroid/os/Handler;)V,1064.774982228535
Landroid/widget/FrameLayout;->draw(Landroid/graphics/Canvas;)V,1063.801213634305
Landroid/content/Context;->getText(I)Ljava/lang/CharSequence;,1058.9658900930008
Landroid/view/ViewGroup;->removeAllViews()V,1056.899531580038
Landroid/os/Handler;->dispatchMessage(Landroid/os/Message;)V,1054.9238414743013
Landroid/media/AudioManager;->abandonAudioFocus(Landroid/media/AudioManager$OnAudioFocusChangeListener;)I,1054.2442802269024
Landroid/content/res/TypedArray;->peekValue(I)Landroid/util/TypedValue;,1044.5308945017641
Landroid/media/AudioManager;->getStreamVolume(I)I,1042.8550288467197
Landroid/support/v7/widget/ActionMenuPresenter;-><init>(Landroid/content/Context;)V,1040.961345639921
Landroid/os/ParcelFileDescriptor;->close()V,1039.0739660463182
Landroid/support/v7/widget/SearchView;-><init>(Landroid/content/Context;)V,1038.5065887011958
Landroid/view/View;->getPaddingRight()I,1037.5636580944042
Landroid/support/v7/widget/SwitchCompat;->setChecked(Z)V,1032.336558849003
Landroid/os/Bundle;->getCharSequence(Ljava/lang/String;)Ljava/lang/CharSequence;,1028.7928978982814
Landroid/webkit/WebView;->getTitle()Ljava/lang/String;,1025.3966766070982
Landroid/content/ContentProviderClient;->release()Z,1023.2716456260216
Landroid/os/Parcel;->readParcelableArray(Ljava/lang/ClassLoader;)[Landroid/os/Parcelable;,1020.425703181249
Landroid/support/v4/app/NotificationCompatApi21$Builder;->build()Landroid/app/Notification;,1014.5243213095182
Landroid/support/v7/widget/SearchView;->onActionViewExpanded()V,1013.5463492979819
Landroid/view/View;->setFitsSystemWindows(Z)V,1010.4067239403564
Landroid/os/Bundle;->getStringArrayList(Ljava/lang/String;)Ljava/util/ArrayList;,1004.8947320289141
Landroid/widget/Spinner;->performClick()Z,1003.6948775610597
Landroid/support/v4/widget/SwipeRefreshLayout;-><init>(Landroid/content/Context;)V,991.2327380703322
Landroid/graphics/drawable/ShapeDrawable;-><init>(Landroid/graphics/drawable/shapes/Shape;)V,990.7367133384028
Landroid/view/accessibility/AccessibilityManager;->isEnabled()Z,987.4243770521484
Landroid/app/PendingIntent;->cancel()V,985.4384476825171
Landroid/support/v4/widget/SwipeRefreshLayout;->onTouchEvent(Landroid/view/MotionEvent;)Z,983.296590985979
Landroid/view/View;->setScaleX(F)V,980.7232434514697
Landroid/view/View;->draw(Landroid/graphics/Canvas;)V,980.1373377954794
Landroid/support/v7/widget/ListPopupWindow;-><init>(Landroid/content/Context;)V,977.5147600713581
Landroid/support/v4/widget/SlidingPaneLayout;->setShadowResourceLeft(I)V,965.6234038119458
Landroid/media/AudioManager;->getRingerMode()I,961.0767762271171
Landroid/content/res/TypedArray;->getDrawable(I)Landroid/graphics/drawable/Drawable;,953.7128957777285
Landroid/os/PowerManager$WakeLock;->acquire(J)V,948.1181822541803
Landroid/content/res/TypedArray;->getColorStateList(I)Landroid/content/res/ColorStateList;,945.7322420818039
Landroid/content/res/Resources;->getTextArray(I)[Ljava/lang/CharSequence;,944.9053829313373
Landroid/app/Activity;->startPostponedEnterTransition()V,943.5173001274738
Landroid/view/View;->offsetTopAndBottom(I)V,943.3894347961747
Landroid/view/View;->setAccessibilityLiveRegion(I)V,942.8777078567757
Landroid/app/Activity;->getActionBar()Landroid/app/ActionBar;,937.4209904816277
Landroid/graphics/drawable/Drawable;->getMinimumHeight()I,935.3459702676391
Landroid/graphics/drawable/LayerDrawable;-><init>([Landroid/graphics/drawable/Drawable;)V,931.0321379634877
Landroid/app/Activity;->setRequestedOrientation(I)V,930.0013966636129
Landroid/content/Intent;->resolveActivity(Landroid/content/pm/PackageManager;)Landroid/content/ComponentName;,917.1346830239636
Landroid/app/Activity;->shouldUpRecreateTask(Landroid/content/Intent;)Z,913.9351814156721
Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;->getChildren()[Landroid/graphics/drawable/Drawable;,913.5468915688873
Landroid/content/res/Resources;->openRawResource(I)Ljava/io/InputStream;,912.4439349211373
Landroid/view/View;->setSelected(Z)V,910.931648273193
Landroid/app/PendingIntent;->send(I)V,909.5744599834551
Landroid/view/View;->onTouchEvent(Landroid/view/MotionEvent;)Z,908.2573118749352
Landroid/view/ViewStub;->inflate()Landroid/view/View;,908.0276190777208
Landroid/os/Bundle;->getCharSequenceArray(Ljava/lang/String;)[Ljava/lang/CharSequence;,905.5211795384379
Landroid/support/v4/widget/SwipeRefreshLayout;->setProgressBackgroundColor(I)V,905.1380751499859
Landroid/view/View;->sendAccessibilityEvent(I)V,898.0142209878894
Landroid/speech/tts/TextToSpeech;->getFeatures(Ljava/util/Locale;)Ljava/util/Set;,895.6578883569623
Landroid/os/Bundle;->getFloatArray(Ljava/lang/String;)[F,894.6078341322411
Landroid/view/View;->setDrawingCacheEnabled(Z)V,894.2919749079086
Landroid/widget/PopupWindow;->dismiss()V,892.3566449335347
Landroid/text/SpannableString;-><init>(Ljava/lang/CharSequence;)V,888.7081686620368
Landroid/support/v4/app/NotificationManagerCompat;->cancel(I)V,888.4566175770433
Landroid/app/IntentService;-><init>(Ljava/lang/String;)V,887.5614743166719
Landroid/support/v4/app/NotificationCompatSideChannelService;-><init>()V,886.4025128669966
Landroid/view/accessibility/AccessibilityManager;->sendAccessibilityEvent(Landroid/view/accessibility/AccessibilityEvent;)V,885.1431147340209
Landroid/view/Display;->getSize(Landroid/graphics/Point;)V,880.7400532258159
Landroid/view/View;->setClipToOutline(Z)V,879.1075693835596
Landroid/content/res/Resources;->getMovie(I)Landroid/graphics/Movie;,874.8331629061443
Landroid/app/Activity;->findViewById(I)Landroid/view/View;,870.1041692998
Landroid/graphics/drawable/InsetDrawable;->draw(Landroid/graphics/Canvas;)V,869.5299548426997
Landroid/os/Parcel;->createTypedArray(Landroid/os/Parcelable$Creator;)[Ljava/lang/Object;,868.8375320702676
Landroid/support/v4/widget/DrawerLayout;-><init>(Landroid/content/Context;)V,868.8166719632577
Landroid/support/v4/widget/DrawerLayout$SavedState;-><init>(Landroid/os/Parcel;)V,867.030102126456
Landroid/support/v4/app/FragmentActivity;->supportFinishAfterTransition()V,866.1113120773479
Landroid/content/res/Resources;->getDimensionPixelOffset(I)I,865.0496553241979
Landroid/content/res/Resources;->getDimensionPixelSize(I)I,860.8908898271688
Landroid/view/View;->invalidate()V,859.9782182797026
Landroid/os/Parcel;->readException()V,857.851351371562
Landroid/view/View;->dispatchTouchEvent(Landroid/view/MotionEvent;)Z,853.2639022685375
Landroid/support/v7/widget/ShareActionProvider;->setShareIntent(Landroid/content/Intent;)V,848.1918610134705
Landroid/support/v4/view/ViewPager;->removeView(Landroid/view/View;)V,845.4269750661023
Landroid/support/v4/widget/SearchViewCompatIcs$MySearchView;->onActionViewCollapsed()V,842.2836428496705
Landroid/support/v4/view/ViewPropertyAnimatorCompat;->start()V,842.2451256746724
Landroid/support/v4/widget/SwipeRefreshLayout;->setProgressBackgroundColorSchemeResource(I)V,838.5766132516776
Landroid/content/res/Resources;->getAnimation(I)Landroid/content/res/XmlResourceParser;,838.2765519217392
Landroid/view/ViewGroup;-><init>(Landroid/content/Context;)V,833.9696598346916
